language,dimension,feature_index,feature_name,dtype,n_missing,missing_rate,n_unique,most_frequent_value_ratio,zero_variance,near_zero_variance_95pct_same_value,suspicious_name,min,max,mean,std
en,d1_illness_beliefs,43,memory,float64,0,0.0,3,0.9914,False,True,False,0.0,5.882,0.03349785407725322,0.40489676339036834
en,d1_illness_beliefs,53,swear,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,58,conflict,float64,0,0.0,10,0.9614,False,True,False,0.0,3.03,0.06847210300429185,0.37142703644112607
en,d1_illness_beliefs,59,moral,float64,0,0.0,11,0.9528,False,True,False,0.0,3.846,0.10469527896995708,0.5339684438112767
en,d1_illness_beliefs,63,friend,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,65,male,float64,0,0.0,5,0.9828,False,True,False,0.0,2.941,0.03227467811158798,0.2577284258053565
en,d1_illness_beliefs,66,Culture,float64,0,0.0,5,0.9828,False,True,False,0.0,1.538,0.02028755364806867,0.1640092739953737
en,d1_illness_beliefs,67,politic,float64,0,0.0,3,0.9914,False,True,False,0.0,1.538,0.01224892703862661,0.13232570778444427
en,d1_illness_beliefs,68,ethnicity,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,69,tech,float64,0,0.0,3,0.9914,False,True,False,0.0,1.429,0.00803862660944206,0.09791183253228286
en,d1_illness_beliefs,71,leisure,float64,0,0.0,3,0.9914,False,True,False,0.0,2.667,0.022450643776824035,0.24184586216191992
en,d1_illness_beliefs,72,home,float64,0,0.0,3,0.9914,False,True,False,0.0,5.0,0.027339055793991415,0.33926105180199256
en,d1_illness_beliefs,79,wellness,float64,0,0.0,3,0.9914,False,True,False,0.0,11.765,0.05239914163090129,0.7711741492344877
en,d1_illness_beliefs,81,substances,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,82,sexual,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,83,food,float64,0,0.0,2,0.9957,False,True,False,0.0,2.667,0.011446351931330472,0.1747209792808476
en,d1_illness_beliefs,84,death,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,88,lack,float64,0,0.0,5,0.9828,False,True,False,0.0,4.762,0.0518412017167382,0.43428133820012865
en,d1_illness_beliefs,89,fulfill,float64,0,0.0,3,0.9914,False,True,False,0.0,1.887,0.013090128755364807,0.14493478181487263
en,d1_illness_beliefs,90,fatigue,float64,0,0.0,6,0.9785,False,True,False,0.0,2.857,0.04030901287553648,0.28284455453567936
en,d1_illness_beliefs,91,reward,float64,0,0.0,2,0.9957,False,True,False,0.0,0.444,0.001905579399141631,0.029087407124370582
en,d1_illness_beliefs,107,netspeak,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,109,nonflu,float64,0,0.0,3,0.9914,False,True,False,0.0,2.222,0.017339055793991417,0.1876850605654309
en,d1_illness_beliefs,110,filler,float64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
en,d1_illness_beliefs,115,Exclam,float64,0,0.0,2,0.9957,False,True,False,0.0,1.695,0.007274678111587983,0.11104314206263091
en,d1_illness_beliefs,117,OtherP,float64,0,0.0,4,0.9871,False,True,False,0.0,2.222,0.02376824034334764,0.2118114146269903
en,d1_illness_beliefs,118,Emoji,int64,0,0.0,1,1.0,True,True,False,0.0,0.0,0.0,0.0
